backbone.network.4.0.layer_scale_1	(320,)
backbone.network.4.0.layer_scale_2	(320,)
backbone.network.4.0.norm1.weight	(320,)
backbone.network.4.0.norm1.bias	(320,)
backbone.network.4.0.norm2.weight	(320,)
backbone.network.4.0.norm2.bias	(320,)
backbone.network.4.0.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.0.mlp.fc1.bias	(1280,)
backbone.network.4.0.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.0.mlp.fc2.bias	(320,)
backbone.network.4.1.layer_scale_1	(320,)
backbone.network.4.1.layer_scale_2	(320,)
backbone.network.4.1.norm1.weight	(320,)
backbone.network.4.1.norm1.bias	(320,)
backbone.network.4.1.norm2.weight	(320,)
backbone.network.4.1.norm2.bias	(320,)
backbone.network.4.1.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.1.mlp.fc1.bias	(1280,)
backbone.network.4.1.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.1.mlp.fc2.bias	(320,)
backbone.network.4.2.layer_scale_1	(320,)
backbone.network.4.2.layer_scale_2	(320,)
backbone.network.4.2.norm1.weight	(320,)
backbone.network.4.2.norm1.bias	(320,)
backbone.network.4.2.norm2.weight	(320,)
backbone.network.4.2.norm2.bias	(320,)
backbone.network.4.2.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.2.mlp.fc1.bias	(1280,)
backbone.network.4.2.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.2.mlp.fc2.bias	(320,)
backbone.network.4.3.layer_scale_1	(320,)
backbone.network.4.3.layer_scale_2	(320,)
backbone.network.4.3.norm1.weight	(320,)
backbone.network.4.3.norm1.bias	(320,)
backbone.network.4.3.norm2.weight	(320,)
backbone.network.4.3.norm2.bias	(320,)
backbone.network.4.3.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.3.mlp.fc1.bias	(1280,)
backbone.network.4.3.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.3.mlp.fc2.bias	(320,)
backbone.network.4.4.layer_scale_1	(320,)
backbone.network.4.4.layer_scale_2	(320,)
backbone.network.4.4.norm1.weight	(320,)
backbone.network.4.4.norm1.bias	(320,)
backbone.network.4.4.norm2.weight	(320,)
backbone.network.4.4.norm2.bias	(320,)
backbone.network.4.4.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.4.mlp.fc1.bias	(1280,)
backbone.network.4.4.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.4.mlp.fc2.bias	(320,)
backbone.network.4.5.layer_scale_1	(320,)
backbone.network.4.5.layer_scale_2	(320,)
backbone.network.4.5.norm1.weight	(320,)
backbone.network.4.5.norm1.bias	(320,)
backbone.network.4.5.norm2.weight	(320,)
backbone.network.4.5.norm2.bias	(320,)
backbone.network.4.5.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.5.mlp.fc1.bias	(1280,)
backbone.network.4.5.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.5.mlp.fc2.bias	(320,)
backbone.network.4.6.layer_scale_1	(320,)
backbone.network.4.6.layer_scale_2	(320,)
backbone.network.4.6.norm1.weight	(320,)
backbone.network.4.6.norm1.bias	(320,)
backbone.network.4.6.norm2.weight	(320,)
backbone.network.4.6.norm2.bias	(320,)
backbone.network.4.6.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.6.mlp.fc1.bias	(1280,)
backbone.network.4.6.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.6.mlp.fc2.bias	(320,)
backbone.network.4.7.layer_scale_1	(320,)
backbone.network.4.7.layer_scale_2	(320,)
backbone.network.4.7.norm1.weight	(320,)
backbone.network.4.7.norm1.bias	(320,)
backbone.network.4.7.norm2.weight	(320,)
backbone.network.4.7.norm2.bias	(320,)
backbone.network.4.7.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.7.mlp.fc1.bias	(1280,)
backbone.network.4.7.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.7.mlp.fc2.bias	(320,)
backbone.network.4.8.layer_scale_1	(320,)
backbone.network.4.8.layer_scale_2	(320,)
backbone.network.4.8.norm1.weight	(320,)
backbone.network.4.8.norm1.bias	(320,)
backbone.network.4.8.norm2.weight	(320,)
backbone.network.4.8.norm2.bias	(320,)
backbone.network.4.8.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.8.mlp.fc1.bias	(1280,)
backbone.network.4.8.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.8.mlp.fc2.bias	(320,)
backbone.network.4.9.layer_scale_1	(320,)
backbone.network.4.9.layer_scale_2	(320,)
backbone.network.4.9.norm1.weight	(320,)
backbone.network.4.9.norm1.bias	(320,)
backbone.network.4.9.norm2.weight	(320,)
backbone.network.4.9.norm2.bias	(320,)
backbone.network.4.9.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.9.mlp.fc1.bias	(1280,)
backbone.network.4.9.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.9.mlp.fc2.bias	(320,)
backbone.network.4.10.layer_scale_1	(320,)
backbone.network.4.10.layer_scale_2	(320,)
backbone.network.4.10.norm1.weight	(320,)
backbone.network.4.10.norm1.bias	(320,)
backbone.network.4.10.norm2.weight	(320,)
backbone.network.4.10.norm2.bias	(320,)
backbone.network.4.10.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.10.mlp.fc1.bias	(1280,)
backbone.network.4.10.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.10.mlp.fc2.bias	(320,)
backbone.network.4.11.layer_scale_1	(320,)
backbone.network.4.11.layer_scale_2	(320,)
backbone.network.4.11.norm1.weight	(320,)
backbone.network.4.11.norm1.bias	(320,)
backbone.network.4.11.norm2.weight	(320,)
backbone.network.4.11.norm2.bias	(320,)
backbone.network.4.11.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.11.mlp.fc1.bias	(1280,)
backbone.network.4.11.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.11.mlp.fc2.bias	(320,)
backbone.network.4.12.layer_scale_1	(320,)
backbone.network.4.12.layer_scale_2	(320,)
backbone.network.4.12.norm1.weight	(320,)
backbone.network.4.12.norm1.bias	(320,)
backbone.network.4.12.norm2.weight	(320,)
backbone.network.4.12.norm2.bias	(320,)
backbone.network.4.12.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.12.mlp.fc1.bias	(1280,)
backbone.network.4.12.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.12.mlp.fc2.bias	(320,)
backbone.network.4.13.layer_scale_1	(320,)
backbone.network.4.13.layer_scale_2	(320,)
backbone.network.4.13.norm1.weight	(320,)
backbone.network.4.13.norm1.bias	(320,)
backbone.network.4.13.norm2.weight	(320,)
backbone.network.4.13.norm2.bias	(320,)
backbone.network.4.13.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.13.mlp.fc1.bias	(1280,)
backbone.network.4.13.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.13.mlp.fc2.bias	(320,)
backbone.network.4.14.layer_scale_1	(320,)
backbone.network.4.14.layer_scale_2	(320,)
backbone.network.4.14.norm1.weight	(320,)
backbone.network.4.14.norm1.bias	(320,)
backbone.network.4.14.norm2.weight	(320,)
backbone.network.4.14.norm2.bias	(320,)
backbone.network.4.14.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.14.mlp.fc1.bias	(1280,)
backbone.network.4.14.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.14.mlp.fc2.bias	(320,)
backbone.network.4.15.layer_scale_1	(320,)
backbone.network.4.15.layer_scale_2	(320,)
backbone.network.4.15.norm1.weight	(320,)
backbone.network.4.15.norm1.bias	(320,)
backbone.network.4.15.norm2.weight	(320,)
backbone.network.4.15.norm2.bias	(320,)
backbone.network.4.15.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.15.mlp.fc1.bias	(1280,)
backbone.network.4.15.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.15.mlp.fc2.bias	(320,)
backbone.network.4.16.layer_scale_1	(320,)
backbone.network.4.16.layer_scale_2	(320,)
backbone.network.4.16.norm1.weight	(320,)
backbone.network.4.16.norm1.bias	(320,)
backbone.network.4.16.norm2.weight	(320,)
backbone.network.4.16.norm2.bias	(320,)
backbone.network.4.16.mlp.fc1.weight	(1280, 320, 1, 1)
backbone.network.4.16.mlp.fc1.bias	(1280,)
backbone.network.4.16.mlp.fc2.weight	(320, 1280, 1, 1)
backbone.network.4.16.mlp.fc2.bias	(320,)
backbone.network.4.17.layer_scale_1	(320,)
backbone.network.4.17.layer_scale_2	(320,)
backbone.network.4.17.norm1.weight	(320,)
backbone.network.4.17.norm1.bias	(320,)
backbone.network.4.17.norm2.weight	(320,)
backbone.network.4.17.norm2.bias	(320,)
