backbone.network.0.5.convffn.conv.bn.weight	(76,)
backbone.network.0.5.convffn.conv.bn.bias	(76,)
backbone.network.0.5.convffn.conv.bn.running_mean	(76,)
backbone.network.0.5.convffn.conv.bn.running_var	(76,)
backbone.network.0.5.convffn.conv.bn.num_batches_tracked	()
backbone.network.0.5.convffn.fc1.weight	(304, 76, 1, 1)
backbone.network.0.5.convffn.fc1.bias	(304,)
backbone.network.0.5.convffn.fc2.weight	(76, 304, 1, 1)
backbone.network.0.5.convffn.fc2.bias	(76,)
backbone.network.1.proj.0.lkb_origin.conv.weight	(152, 1, 7, 7)
backbone.network.1.proj.0.lkb_origin.bn.weight	(152,)
backbone.network.1.proj.0.lkb_origin.bn.bias	(152,)
backbone.network.1.proj.0.lkb_origin.bn.running_mean	(152,)
backbone.network.1.proj.0.lkb_origin.bn.running_var	(152,)
backbone.network.1.proj.0.lkb_origin.bn.num_batches_tracked	()
backbone.network.1.proj.0.small_conv.conv.weight	(152, 1, 3, 3)
backbone.network.1.proj.0.small_conv.bn.weight	(152,)
backbone.network.1.proj.0.small_conv.bn.bias	(152,)
backbone.network.1.proj.0.small_conv.bn.running_mean	(152,)
backbone.network.1.proj.0.small_conv.bn.running_var	(152,)
backbone.network.1.proj.0.small_conv.bn.num_batches_tracked	()
backbone.network.1.proj.1.rbr_skip.weight	(152,)
backbone.network.1.proj.1.rbr_skip.bias	(152,)
backbone.network.1.proj.1.rbr_skip.running_mean	(152,)
backbone.network.1.proj.1.rbr_skip.running_var	(152,)
backbone.network.1.proj.1.rbr_skip.num_batches_tracked	()
backbone.network.1.proj.1.rbr_conv.0.conv.weight	(152, 152, 1, 1)
backbone.network.1.proj.1.rbr_conv.0.bn.weight	(152,)
backbone.network.1.proj.1.rbr_conv.0.bn.bias	(152,)
backbone.network.1.proj.1.rbr_conv.0.bn.running_mean	(152,)
backbone.network.1.proj.1.rbr_conv.0.bn.running_var	(152,)
backbone.network.1.proj.1.rbr_conv.0.bn.num_batches_tracked	()
backbone.network.2.0.layer_scale	(152, 1, 1)
backbone.network.2.0.token_mixer.layer_scale	(152, 1, 1)
backbone.network.2.0.token_mixer.norm.rbr_skip.weight	(152,)
backbone.network.2.0.token_mixer.norm.rbr_skip.bias	(152,)
backbone.network.2.0.token_mixer.norm.rbr_skip.running_mean	(152,)
backbone.network.2.0.token_mixer.norm.rbr_skip.running_var	(152,)
backbone.network.2.0.token_mixer.norm.rbr_skip.num_batches_tracked	()
backbone.network.2.0.token_mixer.mixer.rbr_skip.weight	(152,)
backbone.network.2.0.token_mixer.mixer.rbr_skip.bias	(152,)
backbone.network.2.0.token_mixer.mixer.rbr_skip.running_mean	(152,)
backbone.network.2.0.token_mixer.mixer.rbr_skip.running_var	(152,)
backbone.network.2.0.token_mixer.mixer.rbr_skip.num_batches_tracked	()
backbone.network.2.0.token_mixer.mixer.rbr_conv.0.conv.weight	(152, 1, 3, 3)
backbone.network.2.0.token_mixer.mixer.rbr_conv.0.bn.weight	(152,)
