backbone.layers.3.0.expand_conv.conv.weight	(192, 32, 1, 1)
backbone.layers.3.0.expand_conv.bn.weight	(192,)
backbone.layers.3.0.expand_conv.bn.bias	(192,)
backbone.layers.3.0.expand_conv.bn.running_mean	(192,)
backbone.layers.3.0.expand_conv.bn.running_var	(192,)
backbone.layers.3.0.expand_conv.bn.num_batches_tracked	()
backbone.layers.3.0.depthwise_conv.conv.weight	(192, 1, 5, 5)
backbone.layers.3.0.depthwise_conv.bn.weight	(192,)
backbone.layers.3.0.depthwise_conv.bn.bias	(192,)
backbone.layers.3.0.depthwise_conv.bn.running_mean	(192,)
backbone.layers.3.0.depthwise_conv.bn.running_var	(192,)
backbone.layers.3.0.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.3.0.se.conv1.conv.weight	(8, 192, 1, 1)
backbone.layers.3.0.se.conv1.conv.bias	(8,)
backbone.layers.3.0.se.conv2.conv.weight	(192, 8, 1, 1)
backbone.layers.3.0.se.conv2.conv.bias	(192,)
backbone.layers.3.0.linear_conv.conv.weight	(48, 192, 1, 1)
backbone.layers.3.0.linear_conv.bn.weight	(48,)
backbone.layers.3.0.linear_conv.bn.bias	(48,)
backbone.layers.3.0.linear_conv.bn.running_mean	(48,)
backbone.layers.3.0.linear_conv.bn.running_var	(48,)
backbone.layers.3.0.linear_conv.bn.num_batches_tracked	()
backbone.layers.3.1.expand_conv.conv.weight	(288, 48, 1, 1)
backbone.layers.3.1.expand_conv.bn.weight	(288,)
backbone.layers.3.1.expand_conv.bn.bias	(288,)
backbone.layers.3.1.expand_conv.bn.running_mean	(288,)
backbone.layers.3.1.expand_conv.bn.running_var	(288,)
backbone.layers.3.1.expand_conv.bn.num_batches_tracked	()
backbone.layers.3.1.depthwise_conv.conv.weight	(288, 1, 5, 5)
backbone.layers.3.1.depthwise_conv.bn.weight	(288,)
backbone.layers.3.1.depthwise_conv.bn.bias	(288,)
backbone.layers.3.1.depthwise_conv.bn.running_mean	(288,)
backbone.layers.3.1.depthwise_conv.bn.running_var	(288,)
backbone.layers.3.1.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.3.1.se.conv1.conv.weight	(12, 288, 1, 1)
backbone.layers.3.1.se.conv1.conv.bias	(12,)
backbone.layers.3.1.se.conv2.conv.weight	(288, 12, 1, 1)
backbone.layers.3.1.se.conv2.conv.bias	(288,)
backbone.layers.3.1.linear_conv.conv.weight	(48, 288, 1, 1)
backbone.layers.3.1.linear_conv.bn.weight	(48,)
backbone.layers.3.1.linear_conv.bn.bias	(48,)
backbone.layers.3.1.linear_conv.bn.running_mean	(48,)
backbone.layers.3.1.linear_conv.bn.running_var	(48,)
backbone.layers.3.1.linear_conv.bn.num_batches_tracked	()
backbone.layers.3.2.expand_conv.conv.weight	(288, 48, 1, 1)
backbone.layers.3.2.expand_conv.bn.weight	(288,)
backbone.layers.3.2.expand_conv.bn.bias	(288,)
backbone.layers.3.2.expand_conv.bn.running_mean	(288,)
backbone.layers.3.2.expand_conv.bn.running_var	(288,)
backbone.layers.3.2.expand_conv.bn.num_batches_tracked	()
backbone.layers.3.2.depthwise_conv.conv.weight	(288, 1, 5, 5)
backbone.layers.3.2.depthwise_conv.bn.weight	(288,)
backbone.layers.3.2.depthwise_conv.bn.bias	(288,)
backbone.layers.3.2.depthwise_conv.bn.running_mean	(288,)
backbone.layers.3.2.depthwise_conv.bn.running_var	(288,)
backbone.layers.3.2.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.3.2.se.conv1.conv.weight	(12, 288, 1, 1)
backbone.layers.3.2.se.conv1.conv.bias	(12,)
backbone.layers.3.2.se.conv2.conv.weight	(288, 12, 1, 1)
backbone.layers.3.2.se.conv2.conv.bias	(288,)
backbone.layers.3.2.linear_conv.conv.weight	(48, 288, 1, 1)
backbone.layers.3.2.linear_conv.bn.weight	(48,)
backbone.layers.3.2.linear_conv.bn.bias	(48,)
backbone.layers.3.2.linear_conv.bn.running_mean	(48,)
backbone.layers.3.2.linear_conv.bn.running_var	(48,)
backbone.layers.3.2.linear_conv.bn.num_batches_tracked	()
