backbone.backbone.features_conv3_1.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv3_1.c1x1_c.conv.weight	(544, 320, 1, 1)
backbone.backbone.features_conv3_2.c1x1_a.bn.weight	(608,)
backbone.backbone.features_conv3_2.c1x1_a.bn.bias	(608,)
backbone.backbone.features_conv3_2.c1x1_a.bn.running_mean	(608,)
backbone.backbone.features_conv3_2.c1x1_a.bn.running_var	(608,)
backbone.backbone.features_conv3_2.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv3_2.c1x1_a.conv.weight	(320, 608, 1, 1)
backbone.backbone.features_conv3_2.c3x3_b.bn.weight	(320,)
backbone.backbone.features_conv3_2.c3x3_b.bn.bias	(320,)
backbone.backbone.features_conv3_2.c3x3_b.bn.running_mean	(320,)
backbone.backbone.features_conv3_2.c3x3_b.bn.running_var	(320,)
backbone.backbone.features_conv3_2.c3x3_b.bn.num_batches_tracked	()
backbone.backbone.features_conv3_2.c3x3_b.conv.weight	(320, 8, 3, 3)
backbone.backbone.features_conv3_2.c1x1_c.bn.weight	(320,)
backbone.backbone.features_conv3_2.c1x1_c.bn.bias	(320,)
backbone.backbone.features_conv3_2.c1x1_c.bn.running_mean	(320,)
backbone.backbone.features_conv3_2.c1x1_c.bn.running_var	(320,)
backbone.backbone.features_conv3_2.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv3_2.c1x1_c.conv.weight	(544, 320, 1, 1)
backbone.backbone.features_conv3_3.c1x1_a.bn.weight	(640,)
backbone.backbone.features_conv3_3.c1x1_a.bn.bias	(640,)
backbone.backbone.features_conv3_3.c1x1_a.bn.running_mean	(640,)
backbone.backbone.features_conv3_3.c1x1_a.bn.running_var	(640,)
backbone.backbone.features_conv3_3.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv3_3.c1x1_a.conv.weight	(320, 640, 1, 1)
backbone.backbone.features_conv3_3.c3x3_b.bn.weight	(320,)
backbone.backbone.features_conv3_3.c3x3_b.bn.bias	(320,)
backbone.backbone.features_conv3_3.c3x3_b.bn.running_mean	(320,)
backbone.backbone.features_conv3_3.c3x3_b.bn.running_var	(320,)
backbone.backbone.features_conv3_3.c3x3_b.bn.num_batches_tracked	()
backbone.backbone.features_conv3_3.c3x3_b.conv.weight	(320, 8, 3, 3)
backbone.backbone.features_conv3_3.c1x1_c.bn.weight	(320,)
backbone.backbone.features_conv3_3.c1x1_c.bn.bias	(320,)
backbone.backbone.features_conv3_3.c1x1_c.bn.running_mean	(320,)
backbone.backbone.features_conv3_3.c1x1_c.bn.running_var	(320,)
backbone.backbone.features_conv3_3.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv3_3.c1x1_c.conv.weight	(544, 320, 1, 1)
backbone.backbone.features_conv3_4.c1x1_a.bn.weight	(672,)
