backbone.backbone.stages.2.4.fc1.bias	(2048,)
backbone.backbone.stages.2.4.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.4.conv.bias	(384,)
backbone.backbone.stages.2.4.fc2.weight	(384, 1024)
backbone.backbone.stages.2.4.fc2.bias	(384,)
backbone.backbone.stages.2.5.norm.weight	(384,)
backbone.backbone.stages.2.5.norm.bias	(384,)
backbone.backbone.stages.2.5.fc1.weight	(2048, 384)
backbone.backbone.stages.2.5.fc1.bias	(2048,)
backbone.backbone.stages.2.5.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.5.conv.bias	(384,)
backbone.backbone.stages.2.5.fc2.weight	(384, 1024)
backbone.backbone.stages.2.5.fc2.bias	(384,)
backbone.backbone.stages.2.6.norm.weight	(384,)
backbone.backbone.stages.2.6.norm.bias	(384,)
backbone.backbone.stages.2.6.fc1.weight	(2048, 384)
backbone.backbone.stages.2.6.fc1.bias	(2048,)
backbone.backbone.stages.2.6.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.6.conv.bias	(384,)
backbone.backbone.stages.2.6.fc2.weight	(384, 1024)
backbone.backbone.stages.2.6.fc2.bias	(384,)
backbone.backbone.stages.2.7.norm.weight	(384,)
backbone.backbone.stages.2.7.norm.bias	(384,)
backbone.backbone.stages.2.7.fc1.weight	(2048, 384)
backbone.backbone.stages.2.7.fc1.bias	(2048,)
backbone.backbone.stages.2.7.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.7.conv.bias	(384,)
backbone.backbone.stages.2.7.fc2.weight	(384, 1024)
backbone.backbone.stages.2.7.fc2.bias	(384,)
backbone.backbone.stages.2.8.norm.weight	(384,)
backbone.backbone.stages.2.8.norm.bias	(384,)
backbone.backbone.stages.2.8.fc1.weight	(2048, 384)
backbone.backbone.stages.2.8.fc1.bias	(2048,)
backbone.backbone.stages.2.8.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.8.conv.bias	(384,)
backbone.backbone.stages.2.8.fc2.weight	(384, 1024)
backbone.backbone.stages.2.8.fc2.bias	(384,)
backbone.backbone.stages.2.9.norm.weight	(384,)
backbone.backbone.stages.2.9.norm.bias	(384,)
backbone.backbone.stages.2.9.fc1.weight	(2048, 384)
backbone.backbone.stages.2.9.fc1.bias	(2048,)
backbone.backbone.stages.2.9.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.9.conv.bias	(384,)
backbone.backbone.stages.2.9.fc2.weight	(384, 1024)
backbone.backbone.stages.2.9.fc2.bias	(384,)
backbone.backbone.stages.2.10.norm.weight	(384,)
backbone.backbone.stages.2.10.norm.bias	(384,)
backbone.backbone.stages.2.10.fc1.weight	(2048, 384)
backbone.backbone.stages.2.10.fc1.bias	(2048,)
backbone.backbone.stages.2.10.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.10.conv.bias	(384,)
backbone.backbone.stages.2.10.fc2.weight	(384, 1024)
backbone.backbone.stages.2.10.fc2.bias	(384,)
backbone.backbone.stages.2.11.norm.weight	(384,)
backbone.backbone.stages.2.11.norm.bias	(384,)
backbone.backbone.stages.2.11.fc1.weight	(2048, 384)
backbone.backbone.stages.2.11.fc1.bias	(2048,)
backbone.backbone.stages.2.11.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.11.conv.bias	(384,)
backbone.backbone.stages.2.11.fc2.weight	(384, 1024)
backbone.backbone.stages.2.11.fc2.bias	(384,)
backbone.backbone.stages.2.12.norm.weight	(384,)
backbone.backbone.stages.2.12.norm.bias	(384,)
backbone.backbone.stages.2.12.fc1.weight	(2048, 384)
backbone.backbone.stages.2.12.fc1.bias	(2048,)
backbone.backbone.stages.2.12.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.12.conv.bias	(384,)
backbone.backbone.stages.2.12.fc2.weight	(384, 1024)
backbone.backbone.stages.2.12.fc2.bias	(384,)
backbone.backbone.stages.2.13.norm.weight	(384,)
backbone.backbone.stages.2.13.norm.bias	(384,)
backbone.backbone.stages.2.13.fc1.weight	(2048, 384)
backbone.backbone.stages.2.13.fc1.bias	(2048,)
backbone.backbone.stages.2.13.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.13.conv.bias	(384,)
backbone.backbone.stages.2.13.fc2.weight	(384, 1024)
backbone.backbone.stages.2.13.fc2.bias	(384,)
backbone.backbone.stages.2.14.norm.weight	(384,)
backbone.backbone.stages.2.14.norm.bias	(384,)
backbone.backbone.stages.2.14.fc1.weight	(2048, 384)
backbone.backbone.stages.2.14.fc1.bias	(2048,)
backbone.backbone.stages.2.14.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.14.conv.bias	(384,)
backbone.backbone.stages.2.14.fc2.weight	(384, 1024)
backbone.backbone.stages.2.14.fc2.bias	(384,)
backbone.backbone.stages.2.15.norm.weight	(384,)
backbone.backbone.stages.2.15.norm.bias	(384,)
backbone.backbone.stages.2.15.fc1.weight	(2048, 384)
backbone.backbone.stages.2.15.fc1.bias	(2048,)
backbone.backbone.stages.2.15.conv.weight	(384, 1, 7, 7)
backbone.backbone.stages.2.15.conv.bias	(384,)
backbone.backbone.stages.2.15.fc2.weight	(384, 1024)
backbone.backbone.stages.2.15.fc2.bias	(384,)
backbone.backbone.stages.2.16.norm.weight	(384,)
backbone.backbone.stages.2.16.norm.bias	(384,)
backbone.backbone.stages.2.16.fc1.weight	(2048, 384)
