backbone.stages.2.5.norm.bias	(384,)
backbone.stages.2.5.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.5.pointwise_conv1.bias	(1536,)
backbone.stages.2.5.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.5.pointwise_conv2.bias	(384,)
backbone.stages.2.6.gamma	(384,)
backbone.stages.2.6.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.6.depthwise_conv.bias	(384,)
backbone.stages.2.6.norm.weight	(384,)
backbone.stages.2.6.norm.bias	(384,)
backbone.stages.2.6.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.6.pointwise_conv1.bias	(1536,)
backbone.stages.2.6.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.6.pointwise_conv2.bias	(384,)
backbone.stages.2.7.gamma	(384,)
backbone.stages.2.7.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.7.depthwise_conv.bias	(384,)
backbone.stages.2.7.norm.weight	(384,)
backbone.stages.2.7.norm.bias	(384,)
backbone.stages.2.7.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.7.pointwise_conv1.bias	(1536,)
backbone.stages.2.7.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.7.pointwise_conv2.bias	(384,)
backbone.stages.2.8.gamma	(384,)
backbone.stages.2.8.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.8.depthwise_conv.bias	(384,)
backbone.stages.2.8.norm.weight	(384,)
backbone.stages.2.8.norm.bias	(384,)
backbone.stages.2.8.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.8.pointwise_conv1.bias	(1536,)
backbone.stages.2.8.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.8.pointwise_conv2.bias	(384,)
backbone.stages.2.9.gamma	(384,)
backbone.stages.2.9.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.9.depthwise_conv.bias	(384,)
backbone.stages.2.9.norm.weight	(384,)
backbone.stages.2.9.norm.bias	(384,)
backbone.stages.2.9.pointwise_conv1.weight	(1536, 384)
backbone.stages.2.9.pointwise_conv1.bias	(1536,)
backbone.stages.2.9.pointwise_conv2.weight	(384, 1536)
backbone.stages.2.9.pointwise_conv2.bias	(384,)
backbone.stages.2.10.gamma	(384,)
backbone.stages.2.10.depthwise_conv.weight	(384, 1, 7, 7)
backbone.stages.2.10.depthwise_conv.bias	(384,)
backbone.stages.2.10.norm.weight	(384,)
backbone.stages.2.10.norm.bias	(384,)
