backbone.backbone.stages_1.blocks.0.norm.running_var	(192,)
backbone.backbone.stages_1.blocks.0.norm.num_batches_tracked	()
backbone.backbone.stages_1.blocks.0.mlp.fc1.weight	(576, 192, 1, 1)
backbone.backbone.stages_1.blocks.0.mlp.fc1.bias	(576,)
backbone.backbone.stages_1.blocks.0.mlp.fc2.weight	(192, 576, 1, 1)
backbone.backbone.stages_1.blocks.0.mlp.fc2.bias	(192,)
backbone.backbone.stages_1.blocks.1.mhca.group_conv3x3.weight	(192, 32, 3, 3)
backbone.backbone.stages_1.blocks.1.mhca.norm.weight	(192,)
backbone.backbone.stages_1.blocks.1.mhca.norm.bias	(192,)
backbone.backbone.stages_1.blocks.1.mhca.norm.running_mean	(192,)
backbone.backbone.stages_1.blocks.1.mhca.norm.running_var	(192,)
backbone.backbone.stages_1.blocks.1.mhca.norm.num_batches_tracked	()
backbone.backbone.stages_1.blocks.1.mhca.projection.weight	(192, 192, 1, 1)
backbone.backbone.stages_1.blocks.1.norm.weight	(192,)
backbone.backbone.stages_1.blocks.1.norm.bias	(192,)
backbone.backbone.stages_1.blocks.1.norm.running_mean	(192,)
backbone.backbone.stages_1.blocks.1.norm.running_var	(192,)
backbone.backbone.stages_1.blocks.1.norm.num_batches_tracked	()
backbone.backbone.stages_1.blocks.1.mlp.fc1.weight	(576, 192, 1, 1)
backbone.backbone.stages_1.blocks.1.mlp.fc1.bias	(576,)
backbone.backbone.stages_1.blocks.1.mlp.fc2.weight	(192, 576, 1, 1)
backbone.backbone.stages_1.blocks.1.mlp.fc2.bias	(192,)
backbone.backbone.stages_1.blocks.2.mhca.group_conv3x3.weight	(192, 32, 3, 3)
backbone.backbone.stages_1.blocks.2.mhca.norm.weight	(192,)
backbone.backbone.stages_1.blocks.2.mhca.norm.bias	(192,)
backbone.backbone.stages_1.blocks.2.mhca.norm.running_mean	(192,)
backbone.backbone.stages_1.blocks.2.mhca.norm.running_var	(192,)
backbone.backbone.stages_1.blocks.2.mhca.norm.num_batches_tracked	()
backbone.backbone.stages_1.blocks.2.mhca.projection.weight	(192, 192, 1, 1)
backbone.backbone.stages_1.blocks.2.norm.weight	(192,)
backbone.backbone.stages_1.blocks.2.norm.bias	(192,)
backbone.backbone.stages_1.blocks.2.norm.running_mean	(192,)
backbone.backbone.stages_1.blocks.2.norm.running_var	(192,)
backbone.backbone.stages_1.blocks.2.norm.num_batches_tracked	()
backbone.backbone.stages_1.blocks.2.mlp.fc1.weight	(576, 192, 1, 1)
backbone.backbone.stages_1.blocks.2.mlp.fc1.bias	(576,)
backbone.backbone.stages_1.blocks.2.mlp.fc2.weight	(192, 576, 1, 1)
backbone.backbone.stages_1.blocks.2.mlp.fc2.bias	(192,)
backbone.backbone.stages_1.blocks.3.norm1.weight	(192,)
backbone.backbone.stages_1.blocks.3.norm1.bias	(192,)
backbone.backbone.stages_1.blocks.3.norm1.running_mean	(192,)
backbone.backbone.stages_1.blocks.3.norm1.running_var	(192,)
